,PUF_ID,agecat,PPEDUC,PPETHM,PPGENDER,PPINCIMP,PPHHSIZE,fpl,PPREG4,PPREG9,FWB1_1,FWB1_5,FS2_3,SUBKNOWL1,ACT1_2,PROPPLAN_3,PROPPLAN_1,MANAGE1_2,MANAGE1_1,MANAGE1_3,SAVEHABIT,AUTOMATED_1,AUTOMATED_2,SAVINGSRANGES,HOUSING,HOUSERANGES,MORTGAGE,PRODHAVE_8,PRODUSE_1,PRODUSE_2,FWBscore,FSscore
157,10555,7,1,1,2,4,2,3,3,5,4,2,4,4,4,4,4,4,5,5,6,7,0,98,1,1,1,0,0,0,59,49
158,12355,6,3,4,1,5,4,3,3,6,2,4,3,4,3,3,4,3,4,2,2,7,7,2,2,5,-2,0,0,0,43,41
159,11833,1,3,1,1,6,2,3,4,8,2,2,1,5,5,4,4,4,5,4,1,1,0,4,1,5,2,0,0,0,56,79
160,12016,7,2,1,2,1,1,2,2,4,3,3,3,5,3,2,4,4,5,3,4,7,7,3,2,99,-2,0,0,0,45,34
161,8523,7,5,1,2,7,1,3,1,1,4,3,1,7,5,4,2,3,3,1,2,0,0,5,1,7,3,0,0,0,63,85
162,11228,4,2,1,2,6,3,3,3,6,2,4,2,5,3,2,1,2,5,4,2,7,0,6,1,4,2,1,0,0,44,42
163,9690,6,5,1,2,7,2,3,2,4,2,3,4,4,4,4,4,5,5,5,5,7,7,4,1,6,3,0,0,0,54,56
164,13917,2,2,1,2,1,1,1,4,8,1,5,1,1,1,1,1,1,1,1,1,7,7,1,2,4,-2,0,0,0,14,10
165,9187,6,2,1,2,2,1,2,3,7,4,2,2,5,4,3,3,5,5,5,6,7,1,7,1,1,1,0,0,0,75,64
166,12419,5,2,2,2,8,4,3,1,1,1,1,3,3,1,2,2,1,1,1,1,1,0,1,1,6,2,0,0,0,30,29
167,7856,3,5,1,1,9,1,3,2,4,4,1,1,5,5,4,3,4,5,5,6,1,1,7,1,1,1,0,0,0,70,60
168,11500,5,3,4,2,3,3,2,4,9,1,1,5,1,1,5,5,5,5,5,5,0,1,4,1,1,1,0,0,0,38,50
169,8953,4,2,2,1,1,2,1,3,5,2,4,2,3,3,4,2,4,4,1,2,0,0,1,3,1,-2,0,0,1,42,49
170,13146,5,3,1,2,2,1,3,4,8,2,3,3,4,3,3,4,4,4,4,4,7,7,4,1,4,2,0,0,0,51,43
171,12301,8,4,1,2,8,2,3,3,5,4,2,2,5,5,4,3,5,5,5,6,0,1,7,1,5,3,0,0,0,69,62
172,13722,4,3,2,1,8,3,3,3,5,3,5,2,6,4,5,4,4,5,1,6,1,1,3,1,4,3,1,0,0,45,69
173,8313,7,5,1,1,8,1,3,4,8,3,3,5,4,3,3,2,3,5,5,4,1,1,3,1,3,1,1,0,0,43,41
174,11086,5,2,1,1,1,1,1,1,1,1,1,3,4,3,2,2,2,2,2,1,0,0,1,2,3,-2,0,0,0,38,30
175,9920,8,1,2,1,7,2,3,4,9,3,3,2,3,4,3,4,4,4,3,4,7,0,5,1,6,98,0,0,0,63,49
176,11355,8,4,2,1,7,1,3,3,5,2,3,3,4,3,3,4,2,5,3,4,7,1,99,1,6,2,0,0,0,52,39
177,12302,5,3,1,1,5,3,3,3,5,3,3,3,4,3,3,3,4,4,4,4,0,0,4,1,3,1,0,0,0,55,43
178,8719,2,3,1,2,3,5,2,3,7,1,4,3,4,3,4,3,3,4,2,3,1,0,99,2,4,-2,1,0,0,29,43
179,12869,8,2,1,2,4,2,3,2,4,3,3,3,6,5,3,3,5,5,5,6,1,0,5,1,-1,-1,0,0,0,58,59
180,9691,5,3,1,2,1,1,2,1,2,2,4,3,3,3,3,3,3,5,1,5,7,1,3,2,1,-2,0,0,0,43,40
181,14196,3,2,1,2,2,3,2,3,5,3,3,3,4,3,3,3,3,5,2,4,7,7,1,1,99,1,0,0,0,49,42
182,8314,3,2,1,1,6,1,3,3,6,3,5,3,3,5,5,5,4,5,2,5,1,1,3,1,3,2,0,0,0,60,69
183,12164,8,3,1,1,5,2,3,4,8,3,2,2,4,3,3,4,3,5,5,4,7,1,6,1,1,99,0,0,0,62,46
184,11728,8,2,1,2,2,1,2,2,3,2,1,2,5,4,4,3,5,5,5,4,0,0,7,1,1,1,0,0,0,60,48
185,12641,2,5,3,1,7,1,3,3,7,4,3,4,6,3,3,4,1,3,4,4,0,0,2,1,7,3,0,0,0,55,46
186,10762,4,4,4,1,3,2,3,3,7,2,3,1,6,4,4,4,4,4,4,4,0,0,99,2,5,-2,0,1,0,54,56
187,12519,6,4,2,2,7,1,3,3,7,4,4,3,6,4,4,4,3,5,5,5,0,1,99,1,4,98,0,0,0,54,48
188,10133,2,3,1,2,3,5,2,2,3,1,5,3,4,3,4,4,3,3,1,3,0,0,1,1,4,2,1,0,0,30,52
